# lang=nl
week	hard
activeren	deactiveren
synthetiseren	analyseren
ineffectief	effectief
zeevogel	landvogel
vingerring	enkelring
vingerring	nekring
vingerring	neusring
vingerring	teenring
vuurvast	brandbaar
vragelijk	evident
vragelijk	onbewist
vragelijk	vanzelfsprekend
binnenlands	allochtoon
binnenlands	buitenlands
binnenlands	vreemd
ongebruikelijk	gebruikelijk
ongedeeld	gedeeld
echtman	vrijgezel
rijkaard	armoedzaaier
rijkbedeeld	minderbedeeld
enkelvoudig	meervoudig
ongetrouwd	gehuwd
ongetrouwd	getrouwd
zwarte magie	witte magie
Oosten	Westen
vakwerk	geknoei
vakwerk	prutswerk
vakwerk	gepruts
vakwerk	knoeiwerk
watervogel	landvogel
pechvogel	geluksvogel
ongeluksvogel	geluksvogel
dorpeling	stedeling
zeedier	landdier
leengoed	onleengoed
leengoed	allodium
onleengoed	leengoed
belastbaar	onbelastbaar
lijfeigene	vrije
zeevis	zoetwatervis
landdier	waterdier
landdier	zeedier
waterdier	landdier
binnengaan	buitengaan
dankbaarheid	ondankbaarheid
oppositielid	meerderheidslid
telbaar	ontelbaar
genadig	ongenadig
huisschilder	kunstschilder
prothese	aphaeresis
maximaal	minimaal
minimaal	maximaal
retentie	teruggave
retentie	afstand
retentie	afscheiding
beenvis	kraakbeenvis
ongekoperd	verkoperd
ongekoperd	gekoperd
nalever	overtreder
kruisboog	handboog
genadeloos	genadig
stadsrand	binnenstad
stadsrand	stadscentrum
onderlijf	bovenlijf
bovenlijf	onderlijf
tweedracht	eendracht
boerenleven	stadsleven
buitenleven	stadsleven
verbogen	onverbogen
wantrouwen	vertrouwen
macrokosmos	microkosmos
terugweg	heenweg
stilstand	beweging
zinnig	onzinnig
zinnigheid	onzin
zichtrekening	termijnrekening
bewoonbaar	onbewoonbaar
ongehoorzaam	gehoorzaam
onvoorzichtigheid	voorzichtigheid
besluiteloos	besluitvaardig
besluiteloos	gedecideerd
benedenhuis	bovenhuis
kling	heft
aphelium	perihelium
knikken	schudden
voorruit	achterruit
transcendentie	immanentie
immanentie	transcendentie
subjectief	objectief
offensief	defensief
misprijzen	prijzen
onbehoorlijk	behoorlijk
kookvis	bakvis
kookvis	braadvis
onpartijdig	partijdig
kunstzijde	natuurzijde
sectie	obductie
continuïteit	discontinuïteit
neuro	zeuro
uitademen	inademen
ongeoorloofd	geoorloofd
buitenband	binnenband
bakvis	kookvis
effectiviteit	ineffectiviteit
meetbaar	onmeetbaar
onsamenhangend	samenhangend
onsamenhangend	coherent
meevallen	tegenvallen
onjuist	juist
afleren	aanleren
met de klok mee	tegen de klok in
met de klok mee	linksom
tegen de klok in	met de klok mee
tegen de klok in	rechtsom
homofiel	heterofiel
homofiel	heteroseksueel
heterofiel	homoseksueel
heteroseksueel	homoseksueel
onsmakelijk	smakelijk
verteerbaar	onverteerbaar
onverteerbaar	verteerbaar
overbelasten	onderbelasten
onverdraagzaam	verdraagzaam
onverdraagzaamheid	tolerantie
onverdraagzaamheid	verdraagzaamheid
gecontroleerd	ongecontroleerd
ongecontroleerd	gecontroleerd
bovenzijde	onderkant
bovenzijde	onderzijde
blijspel	tragedie
blijspel	treurspel
uitdoen	aantrekken
uitdoen	aandoen
verstandig	onverstandig
onverstandig	verstandig
ongevoelig	gevoelig
insensibel	sensibel
soepelheid	starheid
soepelheid	stijfheid
onethisch	ethisch
ongeneeslijk	geneeslijk
verdraaglijk	onverdraaglijk
onverdraaglijk	verdraaglijk
rondje	kruis
asferisch	sferisch
gelikt	ongelikt
gerust	ongerust
voorbereid	onvoorbereid
defensief	offensief
tegenwerken	meewerken
minimaliseren	maximaliseren
maximaliseren	minimaliseren
specificeren	generaliseren
uploaden	downloaden
inloggen	uitloggen
uitloggen	inloggen
versnipperen	ontsnipperen
inladen	uitladen
uitladen	inladen
uitpakken	inpakken
inklappen	uitklappen
uitklappen	inklappen
ontrollen	oprollen
uitrollen	oprollen
ondoorzichtig	doorzichtig
ontgoochelen	begoochelen
ontkoppelen	koppelen
bovenst	onderst
onderst	bovenst
tutoyeren	vousvoyeren
vousvoyeren	jijen
vousvoyeren	tutoyeren
inschakelen	uitschakelen
globaal	precies
expliciet	impliciet
impliciet	expliciet
eilandstaat	binnenstaat
ontladen	laden
ontladen	opladen
onwettelijk	wettelijk
onwettelijk	legitiem
onwettelijkheid	wettelijkheid
wettelijkheid	onwettelijkheid
onmannelijk	mannelijk
bereikbaar	onbereikbaar
onbereikbaar	bereikbaar
effectief	ineffectief
ongelezen	gelezen
alfabeet	analfabeet
alfabetisme	analfabetisme
efficiënt	inefficiënt
inefficiënt	efficiënt
inefficiëntie	efficiëntie
sneltrein	stoptrein
stoptrein	sneltrein
stoptrein	hogesnelheidstrein
exporteren	importeren
slechte	goede
breedband	smalband
smalband	breedband
werkgelegenheid	werkloosheid
onaantrekkelijk	attractief
onaantrekkelijk	aantrekkelijk
gewis	onwis
gewis	onzeker
minpunt	pluspunt
pluspunt	minpunt
stijging	daling
laagdoorlaatfilter	hoogdoorlaatfilter
hoogdoorlaatfilter	laagdoorlaatfilter
banddoorlaatfilter	bandsperfilter
bandsperfilter	banddoorlaatfilter
passief	actief
falsifieerbaarheid	onfalsifieerbaarheid
onfalsifieerbaarheid	falsifieerbaarheid
lafheid	dapperheid
dysforie	euforie
omkeerbaar	onomkeerbaar
verzuiling	ontzuiling
oplosbaar	onoplosbaar
terugwaarts	voorwaarts
teruguit	vooruit
figuurlijk	letterlijk
binnenband	buitenband
centrifugale kracht	centripetaalkracht
centrifugale kracht	centripetale kracht
centrifugale kracht	middelpuntzoekende kracht
geoorloofd	ongeoorloofd
hoofdlettergevoelig	hoofdletterongevoelig
hoofdletterongevoelig	hoofdlettergevoelig
per ongeluk	expres
per ongeluk	met opzet
per ongeluk	opzettelijk
expres	abusievelijk
expres	per abuis
expres	per ongeluk
per abuis	expres
per abuis	met opzet
per abuis	opzettelijk
-vrouw	-man
voor-	achter-
voor-	na-
nietes	welles
welgang	falen
welgang	mislukking
roomboter	kunstboter
roomboter	margarine
infernaal	hemels
evenwoord	antoniem
tegenvallertje	meevaller
meevaller	tegenvaller
zacht teken	hard teken
hard teken	zacht teken
vrouwtjes-	mannetjes-
mannetjes-	vrouwtjes-
overuitgave	onderuitgave
onderuitgave	overuitgave
statenbond	bondsstaat
statenbond	federatie
bondsstaat	confederatie
bondsstaat	statenbond
wereldkrijg	wereldvrede
wereldvrede	wereldoorlog
wereldvrede	wereldbrand
wereldvrede	wereldkrijg
wanboffer	boffer
wanboffer	geluksvogel
helwaarts	hemelwaarts
hemelwaarts	helwaarts
loefwaarts	lijwaarts
treurspel	blijspel
treurspel	komedie
wisseltonig	gelijktonig
gelijktonig	wisseltonig
kleine scherm	grote scherm
grote scherm	kleine scherm
unitarisme	trinitarisme
hoofdwerker	handwerker
moedertaalspreekster	niet-moedertaalspreekster
niet-moedertaalspreekster	moedertaalspreekster
ontplooien	terugplooien
terugplooien	ontplooien
bovenarm	onderarm
bovenbuik	onderbuik
ontoereikend	toereikend
geluksvogel	ongeluksvogel
geluksvogel	pechvogel
opwarmen	afkoelen
kathode	anode
voorbeurs	nabeurs
nabeurs	voorbeurs
in het lood	uit het lood
uit het lood	in het lood
holoniem	meroniem
opperarm	onderarm
afwaarts	opwaarts
Hoogduits	Nederduits
homofilie	homofobie
achter-	voor-
achter-	voor
bovenlangs	onderdoor
bovenlangs	onderlangs
onderlangs	bovenlangs
stedeling	plattelander
stedeling	dorpeling
stedeling	dorpsbewoner
stadsbewoner	plattelander
stadsbewoner	dorpeling
stadsbewoner	dorpsbewoner
plattelander	stedeling
plattelander	stadsbewoner
uit de war	in de war
onscherp	duidelijk
onscherp	klaar
onscherp	scherp
binnen-	buiten-
buiten-	binnen-
lengtegraad	breedtegraad
laagspanning	hoogspanning
inademen	uitademen
koophuis	huurhuis
koophuis	huurwoning
huurhuis	koophuis
huurhuis	koopwoning
voogdij	curatele
kunstijs	natuurijs
onnauwkeurigheid	nauwkeurigheid
slordigheid	nauwkeurigheid
boffer	pechvogel
boffer	wanboffer
onzorgvuldigheid	zorgvuldigheid
zorgvuldigheid	onzorgvuldigheid
illegaliteit	legaliteit
legaliteit	illegaliteit
demotie	promotie
onrechtvaardigheid	recht
onrechtvaardigheid	rechtvaardigheid
achterruit	voorruit
siervuurwerk	knalvuurwerk
knalvuurwerk	siervuurwerk
obductie	sectie
aanbodcurve	vraagcurve
vraagcurve	aanbodcurve
oneerlijkheid	eerlijkheid
mediene	Mokum
inbreiden	uitbreiden
en-enverhaal	of-ofverhaal
krachteloos	krachtig
uitzege	thuiszege
thuiszege	uitzege
voorgangster	opvolgster
opvolgster	voorgangster
ontzuiling	verzuiling
mannetjeskat	kattin
mannetjeskat	poes
mannetjeskat	vrouwtjeskat
vrouwtjeskat	kater
vrouwtjeskat	mannetjeskat
zeuro	neuro
waterafstotend	hydrofiel
waterafstotend	waterminnend
hydrofoob	hydrofiel
hydrofoob	waterminnend
hydrofiel	hydrofoob
hydrofiel	waterafstotend
xenofoob	xenofiel
rammelaar	voedster
onderschatting	overschatting
uitham	inham
inham	uitham
kleinvee	grootvee
grootvee	kleinvee
oudgast	baar
oudgast	orang-baar
orang-baar	oudgast
unitarisch	trinitarisch
unitariër	trinitariër
langharig	kaal
langharig	kortharig
kortharig	langharig
inkomensgelijkheid	inkomensongelijkheid
inkomensongelijkheid	inkomensgelijkheid
onorthodox	orthodox
ja-stemmer	nee-stemmer
nee-stemmer	ja-stemmer
ja-stem	nee-stem
monocultuur	mengteelt
monocultuur	polycultuur
monocultuur	multicultuur
waterwolf	landleeuw
landleeuw	waterwolf
boekennaam	volksnaam
vlakspoeler	diepspoeler
diepspoeler	vlakspoeler
uitstel is geen afstel	van uitstel komt afstel
alfsegat	afgewerkt
alfsegat	tot in de puntjes
schuldcultuur	schaamtecultuur
schaamtecultuur	schuldcultuur
politiekeling	NSB'er
voltooibaar	onvoltooibaar
onvoltooibaar	voltooibaar
afwinden	opwinden
afwinden	winden
achterhoede	voorhoede
gebruiksvriendelijk	gebruikersonvriendelijk
gebruiksvriendelijk	gebruiksonvriendelijk
gebruikersvriendelijk	gebruikersonvriendelijk
gebruikersvriendelijk	gebruiksonvriendelijk
gebruiksonvriendelijk	gebruikersvriendelijk
gebruiksonvriendelijk	gebruiksvriendelijk
gebruikersonvriendelijk	gebruikersvriendelijk
gebruikersonvriendelijk	gebruiksvriendelijk
doelrationeel	waarderationeel
doelrationaliteit	waarderationaliteit
microkosmos	macrokosmos
godgelovig	godloos
godgelovig	atheïstisch
godgelovig	goddeloos
godgelovig	ongelovig
godgelovig	godsdienstig
godgelovig	praktiserend
welles	nietes
onbenul	benul
benul	onbenul
tweespalt	eendracht
verpakken	uitpakken
ongegrond	gegrond
onvrouwelijk	vrouwelijk
bevangen	bevangenheid
bevangen	onbevangen
onderzijde	bovenkant
onderzijde	bovenzijde
vraagelastisch	vraaginelastisch
vraagelasticiteit	vraaginelasticiteit
aanbodelasticiteit	aanbodinelasticiteit
Nederduitsch	Hoogduitsch
deactiveren	activeren
werkgeefster	werkneemster
tegenspoedig	voorspoedig
ontvrienden	bevrienden
aantrekkelijkheid	onaantrekkelijkheid
inferieur	superieur
bemoeilijken	vergemakkelijken
pijnvrij	pijnlijk
onderbelasten	overbelasten
blootsvoets	geschoeid
ontzielen	bezielen
ontzuilen	verzuilen
noordpoolcirkel	zuidpoolcirkel
weddeverlaging	weddeverhoging
gramnegatief	grampositief
grampositief	gramnegatief
eerstejaars	laatstejaars
wanhopen	hopen
berenmarkt	stierenmarkt
oneetbaar	eetbaar
oneetbaarheid	eetbaarheid
laatstejaars	eerstejaars
brandgevaar	brandveiligheid
solvabiliteit	insolvabiliteit
zeebries	landbries
minderheidspartij	meerderheidspartij
meerderheidspartij	minderheidspartij
verzekerbaar	onverzekerbaar
nettobetaler	netto-ontvanger
afhankelijkheid	onafhankelijkheid
onmogelijkheid	mogelijkheid
dhr.	mevr.
mevr.	dhr.
convergeren	divergeren
divergeren	convergeren
convergentie	divergentie
divergentie	convergentie
linker-	rechter-
linker-	rechter
rechter-	linker-
rechter-	linker
multitasken	focussen
meerderheidsregering	minderheidsregering
meerderheidsregering	minderheidskabinet
in de buurt	uit de buurt
uit de buurt	in de buurt
onbehagen	behagen
recht evenredig	omgekeerd evenredig
omgekeerd evenredig	recht evenredig
sluitingstijd	openingstijd
