# lang=nl
woordenboek	dictionary
kussen	to kiss, to give a kiss to
kussen	to practice kissing
kussen	pillow, cushion
onthalen	to welcome hospitably, to regale
eerbied	respect
zedelijk	moral
zedenkunde	ethics
wandelen	to stroll, be on a walk (‘to go for a walk’ = ‘gaan wandelen’)
wandelen	to hike
wandelen	to walk
keuvelen	to chat
omhelzen	to hug, embrace
bedwingen	to restrain
twijfelen	to doubt
ongetwijfeld	undoubtedly, surely
belangstelling	interest (e.g. in a subject)
belangstelling	attention
literatuur	literature
bovenal	above all
uitvoerig	extensive
uitvoerig	extensively
aan bod komen	to be featured, to figure
aan bod komen	to come up for auction
inheems	native, indigenous, domestic, autochthonous
schrik	shock, sudden fear or dread
schrik	fear, terror, menace
afkoelen	to cool off, cool down
1e	; 1st
2e	; 2nd
3e	; 3rd
5e	; 5th
6e	; 6th
7e	; 7th
overal	everywhere, anywhere
overal	all over, throughout (present all over a place)
overal	; everything
nergens	nowhere
nergens	; nothing
's zomers	during the summer
's winters	in the winter
zweven	to float, to hover
zweven	to glide
zweven	to go back and forth, to dither
gunst	favour
gunst	good grief, gosh
gunstig	favourable
ongunstig	unfavourable
zodoende	thereby
schadelijk	harmful, damaging, detrimental, pernicious, noisome
vervuiling	pollution
huishouden	to do housekeeping; keep house
huishouden	to ravage, make a shambles
huishouden	the housekeeping
blootstelling	(usually used with aan) exposure (to)
blootstellen	to expose
voortijdig	untimely, premature
verergeren	to worsen, to deteriorate, to aggravate
ziekte	the state of sickness
ziekte	an illness, disease
tiental	a group of ten
tiental	a multiple of ten which is less than a hundred
aandoening	ailment
aandoening	emotion
ademhaling	breathing, respiration
ademhalen	to breathe
terechtkomen	to land
terechtkomen	to end up, wind up (in an unplanned or surprising place)
uitscheiden	to secrete
uitscheiden	to cease, stop
schatting	estimate
schatting	toll, tribute
abondance	abundance
brosser	a truant, who skips class
emballage	packaging
emballage	wrapping
slijmvlies	mucous membrane
afvalstof	waste product
aannemelijk	plausible
gevoeligheid	sensitivity
gevoeligheid	tenderness (discomfort when an affected area is touched)
gnosticisme	Gnosticism
bloedvat	blood vessel
vaataandoening	vascular disease
uitwijzen	to point out, indicate
uitwijzen	to prove, demonstrate
uitwijzen	to expel, exile, extradite
attometer	: 10-18 meter
samenhangen	to coincide, concur
samenhangend	connected, coherent
samenhangend	(~ met) in connection with
kortdurend	short-lived, short-lasting
kortdurend	short-term
vermoedelijk	presumable, probable
vermoedelijk	presumably
verbranding	combustion
verbranding	burn (wound)
verdamping	evaporation
mengvoeder	mixed fodder
afschuren	to rub down, to abrade
nader	closer, more nearby
nader	more precise
nader	closer, near
naburig	neighboring
ongevaarlijk	harmless
dalen	to descend
dalen	to decrease, to drop
niettemin	nevertheless, nonetheless
afnemen	to decrease
afnemen	to take off, to remove
afnemen	to take, to draw
tezamen	together (with)
mardijker	former slave (especially Portuguese or Dutch), who was converted to Christianity. Mostly used in the time of the VOC presence in Indonesia
tempo doeloe	the period of the Dutch East Indies, the period of Dutch colonisation in Indonesia, in particular as a nostalgic construct in personal, familial or social history; even more specifically, the time between 1870 and the beginning of the First World War around 1914
romusha	a ; an Indonesian who had to perform penal servitude for the Japanese during the Second World War
dwangbevel	warrant
dwangbevel	distress-warrant
dwangmatig	inexorable
dwangmatig	relentless
dwangmatig	compulsive
permoeda	Indonesian nationalistic adolescent, used from 1945. Their battle cry was bersiap "be prepared"
steeds weer	over and over again, repeatedly
factorij	factory, trading post abroad operated by a company
koelie	coolie
atmosfeer	atmosphere
atmosfeer	one Earth atmosphere (atm)
krijsen	to scream, shriek
schenden	to violate
weerssituatie	weather situation
zege	victory, triumph
maagd	a maiden, a (female) virgin
maagd	a virgin of any gender
maagd	a Virgo; someone born with the star sign Virgo
Septuaginta	Septuagint
ketjap	kecap, Indonesian soy sauce
juwelier	jeweler
anekdote	anecdote
blende	metallic sulphide, in particular
sprits	piped or pressed swirly butter cookies formed with a pastry bag
intercity	train
ångström	angstrom
mascotte	mascot
myriade	myriad
goede	good person
goede	the good guys
goede	good , that which is good
Goede Vrijdag	Good Friday
vlinderdas	bowtie
optellen	to add
aftrekken	to pull off
aftrekken	to subtract
aftrekken	to clean/level etc. with a squeegee
vermenigvuldigen	to multiply
vermenigvuldigen	to multiply, to become more numerous
machtsverheffen	to raise to a power, exponentiate
worteltrekken	to find a root
rekenkunde	arithmetic
veelvoud	a multiple
veelvoud	a multiple, a multiplicity
deler	divisor
deler	dealer
spiegeling	reflection
lijnstuk	line segment
willekeurig	arbitrary
willekeurig	random
evenveel	as many
evenveel	as much, as many
hoogstens	at most
d.w.z.	: i.e., that is
gelijkheid	parity
gelijkheid	equality
zoiets	something like that, such a thing
zoiets	such a ... thing
zoiets	something like that, something similar, the like
daarentegen	on the other hand
Europeaan	European man
in tegenstelling tot	as opposed to, unlike, contrary to
ontvreemden	to steal
ploegen	to plough
verzaken	to renounce, to abandon
verzaken	to neglect, to abandon
verzaken	to betray, to abandon
academie	academy
gers	cool, nice
hars	resin
andersom	the other way around
haakje	parenthesis, bracket
alvorens	before
ietwat	somewhat
brandpunt	focus &ndash; of a lens
brandpunt	focus &ndash; of an ellipse
kromme	a curve
raaklijn	tangent line
snijpunt	point of simple crossing between two curves &ndash; i.e. point of intersection but not of tangency
raakpunt	point of tangency
helling	inclination, slope
strekking	purpose, tenor
strekking	scope (of a sanction)
strekking	drift (of a storyline)
slijper	; sharpener
slijpen	to sharpen
slijpen	to grind (a lens e.g.)
verovering	conquest, victory
vervolgen	to continue, carry on
vervolgen	to persecute, pursue
vervolgen	to prosecute, sue
eenmaking	unification
eenieder	anyone
eenieder	everyone
overgeven	to hand over, to give over
overgeven	to surrender, to give oneself up
overgeven	to vomit
uitroepen	to cry out
uitroepen	to proclaim
gezag	authority
binnenvallen	to drop in (especially unannounced)
binnenvallen	to invade
gevangen	caught, captive
gevangene	a prisoner
afstaan	to relinquish, to give up
afstaan	to cede
verzwakken	to weaken, to become weaker
verzwakken	to weaken, to make weaker
weigering	refusal
diens	his, the latter's (genitive masculine and neuter singular of )
diens	the latter's (genitive singular of )
zucht	longing, desire
vlek	spot, stain, speck
vlek	area, region
vlek	hamlet
bijzin	subordinate clause
hoofdzin	main clause
keizerrijk	empire
keizer	emperor
deelstaat	a state &ndash; a member state or constituent state of a federation or confederation
bevoegd	competent
bevoegd	qualified, authorised, having permission
bevoegdheid	authority, authorization
bevoegdheid	competence
achterstand	delay, retardation; the state of being behind others (e.g. peers)
achterstand	the condition of being behind one's opponent(s); the score or quantity that forms the deficit
achterstand	backlog
al dan niet	or ... not
schijnbaar	ostensible, apparent
schijnbaar	seemingly, apparently
begrijpelijk	understandable
berekenen	to calculate, to compute
berekening	a calculation, computation
berekening	a calculating, cold attitude
veelheid	abundance
samenvatting	a summary, a digest
bespreking	a discussion
verlenen	to grant
uitgave	edition, e.g. of a publication
uitgave	release, e.g. of an album
uitgave	monetary expense
doorbraak	breakthrough
betrokken	involved
betrokken	clouded
betrokkenheid	involvement, implication (e.g. in a crime)
betrokkenheid	commitment
weerspiegelen	to reflect, to mirror
lazaret	a medical facility for people suffering from leprosy or mesel, a , a medical leprosery
lazaret	a field hospital
mortier	mortar
mortier	fireworks shell
Filippus	Philip
mops	pug, small dog with a snub snout
strelen	to pet, caress
vegen	to sweep
vegen	to brush
vegen	to wipe
stumper	pitiable person
acceptabel	acceptable
antoniem	antonym (word which has the opposite meaning)
dobbelsteen	dice, polyhedron used in games of chance
teerling	dice, polyhedron used in games of chance
kwart	a quarter, one of four (equal) parts
kwartaal	quarter, trimester (period of three months)
Duitse	German woman
gelopen	to walk
gelopen	to run
aangaande	about, concerning
onderscheid	difference
homoseksualiteit	homosexuality
echtgenoot	husband
echtgenoot	spouse
keer	reversion, reversal, turn
onwaar	untrue (not factual, objectively wrong)
generaal	general
generaal	full general (rank higher than a colonel)
generaal	general officer
overwinning	victory, triumph
overwinning	individual win, as in a contest
derivaat	derivative (something derived)
derivaat	a derivative
odol	a morning wood .
wervel	vertebra
landgenoot	compatriot
bombarderen	to bomb, to bombard (to attack with bombs)
bombarderen	to bombard figuratively, to overload
Italiaanse	Italian (female inhabitant of Italy)
Italiaan	an inhabitant of Italy
Italiaan	a person of Italian descent
Italiaan	something Italian, e.g. a restaurant
bijdragen	to contribute
overhandigen	to hand (give, pass or transmit with the hand)
actie	action, activity, movement; especially a fast-paced activity
actie	action; motion
actie	legal charge; formal claim
kleinzoon	grandson (son of someone's child)
schoonzus	sister-in-law (brother's wife or spouse's sister)
schoonzuster	sister-in-law (brother's wife or spouse's sister)
schoonzoon	son-in-law
schoondochter	daughter-in-law (wife of someone's son)
citroengeel	lemon (colour/color)
kaneel	cinnamon
inktvis	squid
wc	toilet (bathroom with toilet)
wc	water closet
bloembed	flower bed
aangezicht	face , countenance
Zoeloe	Zulu (pertaining to the Zulu people, culture, or language)
Zoeloe	Zulu, member of the Zulu people
Zoeloe	Zulu language
chatten	to chat
baarmoeder	uterus, womb
republiek	republic
ervaren	to experience, to undergo
ervaren	experienced, seasoned
doodziek	terminally ill
doodziek	very sick, as sick as a dog
doodziek	in a very bad state or condition; especially, beyond help or nearly so
doder	killer
theorie	theory
carrosserie	body, bodywork of a motor vehicle
landengte	isthmus
maakt niet uit	it's all right, it's OK, it doesn't make a difference
componist	composer
klassiek	classical
eerste naamval	nominative case
tot op	up to, up until
tot op heden	up until now, to this day
overdrachtelijk	figurative, metaphorical
overdrachtelijk	transitive
oorsprong	origin; point, place or line whence one originates
oorsprong	source, spring
oorsprong	origin
hoornaar	hornet
overdracht	transfer
overdracht	transference
overdracht	transmission
Stoli	Stolichnaya vodka
weerhouden	to hold back
onverhoopt	unexpected
onverhoopt	unexpectedly
grillig	capricious, impulsive
grillig	unusual, irregular, strange
gelieven	to please, to delight
gelieven	to enjoy, love
accepteren	to accept
10e	; 10th
aller-	very; of them all
eeuwig	eternal
eeuwig	forever
standbeeld	statue
afkomst	origin, birth, descent
navolging	imitation
armoede	poverty
armoede	misery
armoede	penury, deprivation, shortage
dronk	drink; draught
gezelschap	company, business
gezelschap	club, society, association
gezelschap	social circle, company, companionship
gezel	companion
gezel	journeyman
wantrouwend	suspicious
toekennen	to confer &ndash; in the sense of grant, bestow
vanuit	from (inside), (from) out of
bewerkstelligen	to bring about, to realize
deelnemen	to take part, to partake, to participate
kogel	projectile: bullet, shot (heavy iron ball used for the shot put)
kogel	sphere, ball-shaped object
kleven	to stick, to be attached glue-like
kleven	to glue, to adhere something on/to something else, to stick to/on
kleven	to be sticky
worp	the act of giving birth in mammals
worp	the group of young animals born at the same time (from the same mother mammal)
worp	throw (flight of a thrown object)
Petrus	Simon Peter, Cephas
twijfel	doubt, uncertainty
veelal	mostly &ndash; more often than not
katoen	cotton, plant of the genus
katoen	cotton
bedrukken	to print on
bedrukken	to sombre
beschilderen	to paint, to put paint on, apply paint to
koolzuur	carbonic acid &ndash; H2CO3
Middellandse Zee	Mediterranean Sea
verrijken	to enrich
zuivel	dairy products (collective name for milk products)
dienblad	service tray, as used to present and serve dishes, drinks etc.
kier	fissure, narrow opening
verpanden	to pawn (to sell something to a pawn shop)
hofleverancier	royal purveyor
pijnboom	a pine, conifer of the genus
pijnboom	other conifers including firs and larch
rechtstreeks	direct
rechtstreeks	directly
kalksteen	limestone
overblijfsel	remainder, vestige, remnant
opeenhopen	to pile up, accumulate
merg	marrow
opeen	on top of each other
opeenhoping	accumulation, pile
druppelen	to drip
verwering	weathering
verplaatsen	to move, transfer &ndash; from one place (A) to another (B)
verplaatsen	to remove
opname	the act of absorbing or assimilating, uptake, absorption
opname	a recording, a record, something that has been recorded
opname	the act of recording
weghalen	to take away, remove
ongerust	worried
bereiden	to prepare (particularly of food and drink)
ontvangst	reception, welcome
ontvangst	reception, receiving of something
ontvangst	reception of a transmitted signal such as radio or television
nogmaals	once again
meermalen	several times
meermaals	many times, repeatedly
volwaardig	full-fledged
geschiedkunde	history
prachtig	splendid, marvelous
stofzuiger	vacuum cleaner, hoover
stofzuiger	a stationary industrial device that removes dust and other particles
broos	weak, fragile, vulnerable
broos	perishable, short-lived, fading
uitoefenen	to exert
enerzijds	on the one hand
anderzijds	on the other hand
stichter	founder
toeschrijven	to ascribe, attribute, chalk up
kerstekind	baby Jezus
kerstekind	a child born on Christmas (Eve or Day)
kerstekind	a dupe, as easy to trick as a young child
schroevendraaier	a screwdriver (tool)
moer	mother
moer	sediment formed in various alcoholic drinks and vinegar
moer	a queen bee
hengst	stallion
hengst	a very hard hit, like given by a angrily kicking stallion
kalf	a calf
kalf	a lintel
Amerikaan	an American (person born in or citizen of the USA or the Americas)
roeping	vocation, calling
houding	attitude
houding	stance
houding	posture, pose
avondmaaltijd	dinner, supper, the evening meal
alsof	as if
isolijn	isoline
het erom spannen	to be close
indonesianistiek	study of Indonesia, its languages and culture
encyclopedie	encyclopedia (comprehensive work of reference with articles on a range of topics, in one field or even all fields)
encyclopedie	encyclopedia
zweefvliegen	to glide in the air; to fly an unpowered sailplane, to fly while holding one's wings still, to fly without engines on
zweefvliegen	gliding, flying with unpowered wings
zweefvliegtuig	glider, sailplane
kwadraat	squared
kwadraat	square &ndash; of a number
associatie	association
associatie	connotation (suggested or implied meaning)
synoniem	synonymous, having the same meaning (or nearly)
synoniem	exchangeable, inseparable
synoniem	synonym, word with (nearly) the same meaning as another
adelaar	eagle (Any of several large carnivorous birds in the family )
adelaar	effigy of an eagle; insignia comprising one
adelaar	eagle (on or supporting a coat of arms)
stemmer	tuner: someone who tunes a musical instrument
stemmer	voter: someone who is eligible to vote in an election
IJslands	Icelandic, relating to Iceland and/or its people
IJslands	in or relating to the Icelandic language
IJslands	the Icelandic language
fikken	to burn
fikken	fingers
schijt	shit (solid excretory product evacuated from the bowel)
schijt	shit!
gewei	an antler or a set of antlers, the bony structure(s) on the head of deer, moose or other antilope species
turkoois	turquoise, a gem (uncountable)
turkoois	its typical, bright blue-greenish color (uncountable)
turkoois	a stone of this gem
pijnstiller	painkiller
tandpijn	toothache (in any tooth or in a non-molar tooth in particular)
giftand	a fang, a hollow type of tooth which venomous creatures use to inject poison in a prey or enemy
toxine	toxin, a type of poisonous substances
knapenschenner	a paederast, a pedophile who sexually abuses boys
schroeven	to screw, manipulate a screw
schroeven	to circle upwards without flapping the wings much if at all, carried by currents of rising hot air
nagedachtenis	remembrance
bereid	ready, prepared
bereid	willing
buur	neighbour
wiens	whose
voorganger	predecessor
voorganger	pastor
opvolger	successor
weduwnaar	widower, surviving husband
universiteit	university, (university) college (especially in the United States)
romanisatie	romanization, process of either acculturation to the Romance culture or of phonetic notation and transliteration to Roman script
grootouder	grandparent, a parent of someone's parent
mineraal	mineral
psychiater	psychiatrist (doctor specializing in psychiatry)
fotograferen	to photograph, to shoot (to take a photograph)
aankloppen	to knock on the door
amorf	amorphous, shapeless (lacking a definite form or clear shape)
onoverwinnelijk	invincible
zonnewende	solstice
halfrond	hemisphere
halfrond	meeting room in the form of a half circle
halfrond	hemispherical
nuttig	useful, handy
peil	level
peiling	measurement (of depth) by sounding
peiling	bearing
peiling	another test, e.g. by poll
opiniepeiling	opinion poll, methodic attempt to quantify public opinion
volstaan	to suffice
baviaan	baboon, monkey of the genus
baviaan	Arminian, Remonstrant
schrijden	to stride
middernacht	midnight
matigen	to moderate
gematigd	moderate, liberal
verzoek	request (act of requesting), friendly demand, petition
inkt	ink (coloured fluid used for writing, painting etc.)
hoefijzer	horseshoe (metallic 'shoe' for an equine's hoof)
potten	(snooker, pool, billiards, etc.) to pot: i.e. to knock a ball into a pocket
ogenblik	moment, blink of an eye (instant of time)
bewaker	guard (person who protects something)
pijnlijk	painful (physically)
pijnlijk	painful (psychologically)
pijnlijk	hurtful, awkward, embarrassing
spraakverwarring	terminological mix-up
kwajongen	rascal boy, an imp particularly inclined to mischief
weet je	you know
borst	chest, thorax
borst	breast
slagzin	slogan
overschrijden	to cross &ndash; cross over, step across
overschrijden	to overrun
overschrijden	to exceed, to surpass
patrijs	A partridge, any bird of the genera or .
patrijs	grey partridge ()
patrijs	negative of a matrix
ambtsroede	rod of office, a rod-shaped attribute symbolizing an official dignity
ambt	office, function, post
strafbaar	punishable
naakt	nude, not wearing any clothing; can also apply to part of the body with exposed hide
naakt	naked, bald, without protective fur, feathers etc. on the skin
naakt	bare, stripped, reduced to its essence
strafrecht	criminal law
behartigen	to look after, serve, study, promote, be watchful of [a person's interests], have [a person's interests] at heart, take to heart
tussentijds	interim
tussentijds	midterm
paljas	a sack of straw, a paillasse
paljas	a buffoon, a clown
beëdigen	to swear in, to give an oath to
strafkolonie	penal colony
hamel	wether, a castrated ram (male sheep)
aanloop	run-up
aanloop	an element, usually an interjection or subordinate clause, preceding the main clause
betreden	to tread upon
betreden	to enter, to come in
aftreden	to resign, abdicate
aftreden	to step down, to walk downward
aftreden	to walk away
hangmat	hammock
ammoniak	ammonia
verval	decay
verval	vertical distance between two points of a watercourse
aantrekking	attraction
afstoting	repulsion
everzwijn	wild boar ()
afstoten	to push away, to repel
afstoten	to start a game
bijeenhouden	to hold together
bijeen	together
nog eens	once again
nog eens	yet again
ijk	gauge
zolder	attic
beroven	to rob , to steal from
beroven	to deprive
evenzeer	likewise
uitwisselen	to exchange
bestendig	lasting, permanent, as in bestendige deputatie (executive college in a Belgian province)
bestendig	resistant, enduring
bestendig	-proof
roeren	to stir, scramble
roeren	to move, budge
roeren	touch, move (to cause emotion)
aangrijpen	to suddenly grasp, to seize
aangrijpen	to seize , to take advantage
aangrijpen	to move, to stir
vandaan	from, away
semantisch	semantic
urineren	to urinate (to pass urine from the body)
afwachting	expectation
om het leven komen	to pass away by violence or accident.
omkomen	to perish
tegengesteld	opposite
botsing	collision
botsing	wreck
botsing	argument
botsen	to collide
versnellen	to speed up, to accelerate
versnellen	to surprise, to ambush
omtrek	perimeter
omtrek	circumference
omtrek	outer line
in ieder geval	in any case, anyhow
hellemoer	the devil's mother
hellemoer	an extremely evil female
hels	hellish, in or related to hell
hels	diabolically horrible, gruesome
hels	devilishly extreme, intense
bruut	brutish, rough
bruut	brutal, fierce
bruut	brute, ruffian
geduldig	patient (ability or willingness to accept or tolerate delays, problems, or suffering)
romancier	novelist
bivakmuts	balaclava
waanzinnige	madman, crazy person
waanzinnig	out of his/her mind, insane, mad
waanzinnig	crazy, fantastic outrageous; extreme
waanzinnig	in an insane way
medaille	a medal (stamped metal disc awarded as a prize)
duivel	devil
ichthus	ichthys
schepsel	creature, a life form (believed to be created in most religious traditions)
schepsel	wretch; vulnerable, contemptible, or miserable individual
wijfje	non-human female
creatuur	creature
creatuur	monster, monstrous or loathsome creature
creatuur	creation
evolutie	evolution (general: a gradual process of development)
rouwstemming	mournful mood, as befits a funeral
rouwstemming	grave gloom, dark mood
beeldscherm	screen (screen where an image is shown)
beeldscherm	monitor (computer display)
flikkeren	to flicker, to waver unsteadily
flikkeren	to fall
flikkeren	to throw, usually carelessly
kleinzerig	petty in relation to pain or hardship, with a low pain threshold, with little endurance
schutting	a (usually wooden) solid, or nearly solid, barrier separating two pieces of land; fence
onderbroek	a pair of undershorts, underpants or pants , short or long johns which can be worn under trousers and directly on the skin of lower limbs and private parts
bakker	baker (person who bakes and sells bread, etc)
jij-bak	a personal attack, especially a tu quoque
herbivoor	herbivore (plant-eating animal)
planteneter	a herbivore (plant-eating animal)
kanteel	merlon
fobie	a phobia, irrational or obsessive fear or anxiety
ballen	to play with a ball
ballen	to form into a ball or similar shape; to clasp, clench (into a fist)
ballen	to fuck
kloten	to mess, to screw around
stallen	to put an animal in a stable
stallen	to park (any human-powered vehicle, such as a bicycle)
stallen	to put aside, lodge, retire
schaamte	feeling of shame (uncomfortable or painful feeling)
watermeloen	watermelon (plant and fruit)
gewricht	joint (part of the body where bones join)
bajonet	bayonet (stabbing weapon attached on a fire-arm)
nasaal	nasal, relating to the nose and/or a quality imparted by means of it
nasaal	a nasal
es-groot	E flat major (Major scale of E flat)
heli	chopper
achteraan	in the back
achteraan	behind (at the back of)
achteraan	after, behind, following
achterwerk	behind, buttocks
achterwerk	stern
achterwerk	decorative lacework
doven	to extinguish
doven	to muffle, to deaden (a sound)
doven	to become deaf
stokvis	stockfish
geweten	conscience
zeester	a starfish, echinoderm of the class
gewetenloos	without a conscience; not minding one's conscience, amoral, unscrupulous, unprincipled
gewetenloos	ruthless, merciless, heartless
classificatie	the act of classification, forming into (functional or theoretical) classes
classificatie	classification, a categorisation into class; the result of the above
viennoiserie	a , a luxury sweet pastry (usually French)
zakkenroller	pickpocket
claustrofobie	claustrophobia
ovaal	oval, shape like an egg or ellipse
heuristisch	heuristic
broodrooster	toaster
pederastisch	pederastic
kwast	tassel
kwast	fine-haired brush
staljongen	stableboy, boy or junior employee working in a stable
Kerst	Christ
kerstman	Father Christmas, Santa Claus
bobslee	bobsleigh, bobsled, a sled used for the homonymous sport
objectief	objective, impartial
objectief	goal, objective, target to be achieved
objectief	objective, lens of microscope or binoculars closest to the object
vertrek	departure (the act of departing)
vertrek	room, quarters
intelligentie	intelligence (capacity of mind)
toespraak	a speech, an address
fundamentalisme	fundamentalism (extremist view in religion)
abri	shelter for public transport
abri	protection from wind by a cyclist's or biker's wake
abri	bomb shelter, bunker
kust	the shoreline
kust	the coast, seaside
kust	a coastal region
zeekust	sea coast (marine shoreline)
vloedgolf	a tidal wave, large and sudden rise and fall in the tide causing a massive flood of water
vloedgolf	any flood, a crushing mass, an endless sequence
trommel	drum, a type of percussion instrument
trommel	drum, various, often cylindrically shaped objects or components
trommel	cylinder
aminozuur	amino acid
edelgas	noble gas (element of group 18 of the periodic table)
specifiek	specific
specifiek	specifically
onnozel	innocent
onnozel	naive, gullible
onnozel	silly, goofy
onnozelheid	silliness
onnozelheid	gullibility
onnozelheid	futility, petty sum or amount
melaatsheid	skin disease; either leprosy (the infectious skin-disease caused by the bacteria ) or another disease historically conflated with leprosy
bioscoop	cinema; movie theater
bioscoop	a visit to the cinema; a film seen there
bioscoop	bioscope; motion-picture projector
plassen	to urinate
plassen	to secrete (something) in urine
antilichaam	antibody, protein that binds to a specific antigen to counter it
Ionische Zee	Ionian Sea (European sea)
tandenborstel	toothbrush
anemie	anemia, a medical condition with a decreased amount of hemoglobin, hindering oxygen transport
azijn	vinegar
constructivisme	constructivism
constructivisme	neoplasticism
autisme	autism
marsepein	marzipan
gevel	façade (of a building)
apotheek	pharmacy, apothecary (a place where prescription drugs may be dispensed by an authorized pharmacologist)
lijfwacht	bodyguard
buurjongen	a boy who lives in the neighbourhood
beschimping	insult, mocking reproach
veel plezier	have fun, enjoy yourself
optimistisch	optimistic
pessimistisch	pessimistic
polygamie	polygamy
polemisch	polemic
Rode Zee	Red Sea (sea between Africa and Arabia)
botanisch	botanical, botanic
problematisch	problematic
dimmen	to dim, to make darker (especially a light)
dimmen	to tone down oneself, to pipe down, to be quiet
wanhopige	desperate one, person in despair
koelte	coolness, a cold, but not freezing temperature, possibly pleasant
koelte	a breeze; any kind of wind
koelte	cool, unshakable attitude
harmonie	harmony
harmonie	harmony, concord
onanie	masturbation, onanism; usually referring to historical contexts where it's regarded as a dangerous pathology
zwam	a fungus, mushroom
zwam	a sponge
grootcommandeur	knight grand commander, a high rank in certain orders of knighthood
onregelmatigheid	irregularity, oddity
onregelmatigheid	error, fault, abuse
Mirjam	Miriam
Mirjam	, also spelled Miriam
bekken	basin, broad-shaped liquid container
bekken	basin, geological depression
bekken	pelvis, basin-shaped body region
bekken trekken	to make faces, in jest or expressively
planken	made of plank(s) and/or board(s)
hongerig	hungry
bombardon	, bass tuba
stuiten	to stop, arrest in progress, end
stuiten	to be arrested, come to rest
stuiten	to meet, arrive at
rijzweep	crop, riding-crop, horsewhip
spitsroede	switch, thin rod, used for punishment
fuifnummer	party animal
goesting	desire, appetite
fuif	party, festive gathering as celebration (often named in compounds, e.g. kerstfuif for Christmas) or just for fun
aerodynamisch	aerodynamic, aerodynamical
leefloon	official term in Belgian law since 2002 for the former bestaansminimum, a minimal 'subsistence' income, guaranteed to all citizens and other legal residents, regardless of professional activity or history, meant as a bottom on poverty
naakte	naked person
lichtekooi	prostitute, whore
lichtekooi	slut, whore
imperialistisch	imperialistic
asymmetrisch	asymmetric
symmetrisch	symmetric
wel eens	occasionally, sometimes
nog wel eens	ever (at least once)
nog wel eens	(especially when used with kunnen) easily
niet eens	not even
vervlogen	past, bygone
amnestie	amnesty
eurocent	Eurocent
rumoerig	noisy, loud
rumoerig	boisterous, audibly restless, tumultuous to riotous
aromatisch	aromatic, fragrant or spicy
gigantisch	gigantic
mythologisch	mythological
galgenaas	gallows bird, trouble-maker
dogmatisch	dogmatic
klappen	to clap (make sound or music with the hands)
klappen	to applaud (clap hands in order to praise)
klappen	to smack, strike rather hard and/or loud
bijdehand	bright, smart, sly, pedantic
bijdehand	forward, bold
afrit	highway exit, slip road
trekking	a draw, the act or event of drawing (especially by chance)
trekking	pull, the act of pulling
markant	striking, distinctive
Jochem	, shortened form of Joachim
eetstokje	chopstick
pijnloos	painless, painfree
pijnloos	effortless, easy, comfortable
robotica	robotics
afstoffen	to dust off, to clean by removing dust
afstoffen	to brush up, refresh, rekindle
schizofrenie	schizophrenia
schoolvos	a pedant, notably a teacher who loves finding and correcting faults; an unpleasant teacher
schoolvos	an experienced schoolteacher, who knows all the tricks of the trade
teems	a sieve made of or copper wire
ov	public transport
vossen	to fuck
vossen	to study intensely
blokken	to cram, to study hard, to swot
leep	crafty, shrewd
leep	shifted, tilted
leep	with watery, tearing eyes
vosrekel	a male fox
rekels	relating to a rekel (male of certain species, notably canine such as fox)
rekels	(commonly; metaphorically) scampish, impish
rekels	damned, blasted
pedofilie	pedophilia
schminken	to facepaint
schminken	to put on make-up, apply cosmetics
boemel	another mode of transportation (notably a bus) with many stops
boemel	(used absolutely, with definite article: de boemel) loitering; partying
bestemming	purpose, future function of something
bestemming	the place set for the end of a journey; destination
bestemming	aim for one's life
accordeon	accordion (a portable wind instrument with a keyboard)
eigennaam	proper noun, the (capitalized) name of a particular person, place, organization or other individual entity
eruit	out! get out!
frequentie	frequency (rate of occurrence of anything)
frequentie	frequency, measure of pulsation as in (radio) waves
woonkamer	living room
boekenkast	bookcase
boekerij	library
boekerij	collection of books
liefhebben	to love
hoeder	guardian, custodian
Friese	a Frisian woman
Schweinhund	a bastard, an arse
Russin	a female Russian, a Russian woman
schering	warp &ndash; a set of lengthwise yarns through which the woof is woven crosswise
hulpwerkwoord	auxiliary verb (a helping verb)
lauw	lukewarm (temperature)
lauw	cold, indifferent
lauw	nice, cool, chill
kirren	to coo like a pigeon, speak in a soft and low voice
korren	to fish by pulling a small funnel-shaped dragnet by a long rope over the sea floor close to the shoreline or near shallows
gambiet	gambit
8e	; 8th
9e	; 9th
12e	; 12th
erbarmen	to have mercy, to take pity
erbarmen	mercy, pity
framboos	raspberry, plant of the species
framboos	raspberry, a fruit of this plant
framboos	raspberry, the reddish color of raspberries
vreugdedans	dance of joy, a celebratory, often improvised choreography
ideaal	ideal, perfect(ly fit); optimal
ideaal	immaterial, aetheral
ideaal	purely cerebral, imaginary in physical terms
baseren	to base
meppen	to smack, slap, swat
vliegenmepper	flyswatter, implement to manually chase or squash small insects, such as flies
stalknecht	stablehand, hostler, employee working in a stable
pauw	A peacock, a fowl of the genus .
pauw	Indian peafowl ()
boerenzoon	a farmer's son
boerenzoon	farmboy, country-boy
boerenjongen	farmboy, country boy
boerenjongen	a farmer's boy, i.e. son
boerenjongen	an alcoholic beverage with brandy and raisins
zweep	a whip
zweep	a whipping, corporal punishment
zweep	force, extreme pressure
heiden	heathen, pagan, person who does not follow an Abrahamic religion
heiden	gentile, non-Jew
heiden	barbarian, Philistine in the uncivilised sense
corrigeren	to correct (to make something that was not valid become right)
