# lang=pt
bit	b
sarro	sedimento
sarro	mancha
sarro	marca
sarro	saburra
sarro	tártaro
cadela	cachorra
pendurar	suspender
pendurar	pender
pendurar	aposentar
grafia	ortografia
Países Baixos	Reino dos Países Baixos
Países Baixos	Holanda
Países Baixos	Neerlândia
Países Baixos	Batávia
Países Baixos	Benelux
Países Baixos	Bélgica
comprimento	tamanho
comprimento	extensão
arranque	princípio
arranque	início
quer	quere
puxa	puxa vida
vitral	vidral
recíproco	mútuo
recíproco	bilateral
yottabyte	YB
ânimo	disposição
fazer a barba	barbear
tesouro	erário
tesouro	fazenda
tesouro	dicionário de ideias afins
tesouro	tesauro
sedento	sequioso
sésamo	gergelim
sésamo	gergelim
baldar	frustrar
pagode	templo
rotura	rutura
rotura	ruptura
vizinhança	quarteirão
vizinhança	paróquia
vizinhança	vizinidade
vizinhança	bairro
vizinhança	Thesaurus:arredores
curcuma	açafrão-da-índia
curcuma	açafrão-das-índias
mobilidade	locomobilidade
isomorfismo	isomorfia
quebra-cabeça	quebra-cabeças
alternar	revezar
cariz	aspeto
cariz	caráter
crossa	báculo
crossa	cajado
crossa	arco
Francoforte	Frankfurt
mítico	legendário
mítico	lendário
manso	submisso
manso	tranquilo
manso	brando
manso	calmo
imperador	soberano
imperador	monarca
crómio	cromo
xilografia	xilogravura
lembrar	recordar
petroso	pedroso
petroso	pétreo
maça	cacete
maça	clava
maça	porrete
curandeiro	doutor
curandeiro	curador
curandeiro	médico
curandeiro	pajé
curandeiro	xamã
isento	excetuado
isento	desobrigado
isento	dispensado
isento	livre
amanhecer	o
amanhecer	nascer
amanhecer	raiar
amanhecer	sol
micrómetro	mícron
estereótipo	clichê
monótono	monotónico
estoniano	estônio
estoniano	estónio
veículo	transporte
veículo	de
veículo	meio
veículo	auto
veículo	automóvel
veículo	carro
veículo	meio
veículo	transmissor
veículo	condutor
teclar	digitar
o caralho	o caraças
o caralho	o escambau
o caralho	o tanas
o caralho	os colhões
possuir	deter
possuir	ter
possuir	haver
possuir	conter
possuir	ter
possuir	controlar
possuir	subjugar
possuir	dominar
possuir	dominar
fortificar	fortalecer
albor	amanhecer
albor	arrebol
albor	alvorada
albor	dilúculo
albor	alba
albor	alva
albor	aurora
albor	alvor
negreiro	escravista
yottabit	Yb
yottabit	Ybit
acento circunflexo	chapeuzinho
cheirar	exalar
cheirar	odorar
cheirar	feder
cheirar	tresandar
cheirar	snifar
terabit	Tbit
terabit	Tb
vácuo	vazio
roubar	de
roubar	furtar
roubar	[[apropriar]]-[[se]] [[de]]
roubar	escamotear
roubar	afanar
roubar	surripiar
roubar	larapiar
roubar	apropriar
roubar	se
roubar	trapacear
roubar	seduzir
roubar	tirar
jeito	modo
jeito	maneira
jeito	capacidade
prognose	prognóstico
dano	danês
dano	dinamarquês
bravio	bravo
bravio	silvestre
bravio	brabo
bravio	bárbaro
bravio	rude
bravio	grosseiro
bravio	bravo
bravio	intransitável
bravio	estéril
bravio	infrutífero
bravio	bravo
bravio	espontâneo
bravio	inculto
bravio	bravo
bravio	bravo
bravio	brabo
bravio	tempestuoso
deificar	apoteosar
deificar	divinizar
deificar	endeusar
deificar	exaltar
deificar	glorificar
deificar	sublimar
sócio	aderente
sócio	puto
vergar	arquear
vergar	encurvar
vergar	curvar
vergar	se
vergar	submeter
vergar	[[submeter]]-[[se]]
dar uma de	bancar
rebaixar	baixar
rebaixar	abaixar
rebaixar	humilhar
rebaixar	abater
pimentão	pimento
focar	concentrar
estomacal	gástrico
estomacal	estomáquico
cornar	chifrar
cadavérico	cadaverizado
cadavérico	cadaveroso
rebento	botão
rebento	broto
rebento	renovo
rebento	gema
rebento	grelo
rebento	gomo
seira	balaio
barrigudo	pançudo
perdoar	desculpar
perdoar	poupar
unicórnio	licorne
pedra no sapato	incômodo
bacharelato	bacharelado
bacharelato	bacharelado
abafação	dispneia
abafação	falta de ar
hortelã	menta
panapaná	borboleta
escorrega	escorregador
empenhar	penhorar
empenhar	comprometer
empenhar	forçar
empenhar	obrigar
empenhar	se
empenhar	[[dedicar]]-[[se]]
empenhar	dedicar
empenhar	[[endividar]]-[[se]]
empenhar	se
empenhar	endividar
avir	acordar
avir	apaziguar
avir	compor
avir	concordar
avir	harmonizar
ir à merda	ir para a merda
ir à merda	ir cagar no mato
tarefa	emprego
tarefa	trabalho
tarefa	lição de casa
tarefa	dever de casa
bílis	fel
confeitaria	pastelaria
confeitaria	doçaria
árgon	argónio
isopor	expandido
isopor	poliestireno
alugar	arrendar
bolacha	biscoito
bolacha	bofetada
bolacha	rodelinha
bolacha	rodela
bolacha	disco fonográfico
bolacha	disco de vinil
bolacha	advertência
bolacha	reprimenda
bolacha	repreensão
desfrutar	aproveitar
imóvel	imóbil
matrimónio	união
matrimónio	casamento
matrimónio	casório
matrimónio	casamento
perseguição	persecução
porteiro	guarda-portão
voadora	patada
cansaço	canseira
assobiar	silvar
assobiar	sibilar
assobiar	ciciar
assobiar	cantar
bailarino	dançarino
arremedo	imitação
geleia	compota
geleia	doce
desferir	dar
desferir	tocar
maciez	maciota
maciez	macieza
padroeiro	patrono
padroeiro	patrono
doçaria	pastelaria
doçaria	confeitaria
doçaria	doceria
teimosia	teimosice
grampo	grampa
grampo	gancho
macieza	maciez
macieza	maciota
aldraba	batente
aldraba	ferrolho
condizer	concordar
cotão	felpa
descortinar	revelar
descortinar	mostrar
descortinar	desflorestar
dar para	dar de
exercitar	treinar
Carcóvia	Carquive
esquerdino	canhoto
acessar	aceder
aham	tá certo
alfazema	lavanda
torre sineira	campanário
encantação	encantamento
encantação	feitiço
vadio	vagabundo
daqui a	em
deslizamento	deslize
devido a	por causa de
devido a	graças a
dodói	axe
já era	babau
ânglico	anglo
ânglico	inglês
úbere	uberoso
úbere	ubertoso
caolho	zanolho
caolho	zarolho
caolho	vesgo
caolho	zarolho
caolho	zanolho
caolho	estrábico
cavalo-vapor	cavalo de vapor
cerveja inglesa	cerveja ale
chifrar	cornar
copiadora	xerox
corrida de touros	tourada
corrida de touros	tauromaquia
corrida de touros	tourada
cortina de fumaça	cortina de fumo
em cima	acima
em cima	sobre
embromar	enrolar
ementa	programa
ementa	rol
ementa	lista
ementa	menu
miradouro	mirante
ensino médio	segundo grau
entre outros	e assim por diante
entre outros	e assim vai
entre outros	e por aí vai
entreperna	virilha
enxergar	ver
enxergar	olhar
enxergar	divisar
enxergar	descortinar
enxergar	entender
falsificação	contrafação
foda-se	que se foda
foda-se	que se lasque
foda-se	que se exploda
foda-se	dane-se
foda-se	fosca-se
foda-se	fosga-se
gaveteiro	cômoda
gol contra	autogolo
hercúleo	herácleo
hercúleo	herculâneo
hercúleo	herculano
choldra	súcia
choldra	cambada
choldra	malta
choldra	canalha
choldra	corja
graças a	por causa de
graças a	devido a
guzerate	gujarati
inteligência artificial	IA
lapão	sami
lapão	lapônio
lapão	lapónio
lapão	saami
lapónio	lapão
lapónio	saami
ligúrio	lígure
lançar luz	jogar luz
lígure	ligúrio
manchu	manchuriano
manchuriano	manchu
moldávio	moldovo
moldávio	moldavo
muito louco	legal
muito louco	da hora
muito menos	quanto mais
muito menos	imagine
muxibento	pelancudo
ermida	ermitério
peia	trava
peia	grilhões
penúria	miséria
penúria	amargura
penúria	pobreza
penúria	escassez
pifar	falhar
pifar	enguiçar
limpar o salão	cutucar o nariz
por dentro	a par
processador	microprocessador
pé de atleta	frieira
urálico	uraliano
tísica	tuberculose pulmonar
revoltar	agitar
revoltar	amotinar
revoltar	desordenar
revoltar	indignar
revoltar	insurrecionar
revoltar	rebelar
revoltar	sublevar
revoltar	transformar
ué	hã
ué	uai
ué	o quê
ué	oras
ué	dã
ué	né
sse	se e somente se
sse	sss
sumeriano	sumérico
sumeriano	sumério
sumérico	sumério
sumérico	sumeriano
tocariano	tocário
urucum	urucueiro
urucum	urucuzeiro
urucum	achiote
urucum	achiote
urucum	colorau
urucum	achiote
tonelada métrica	megagrama
tonelada métrica	tonelada
perto de	próximo de
perto de	em torno de
perto de	por volta de
por nada	de nada
tocário	tocariano
transplantação	transplante
tipo assim	tipo
espernear	pernear
espernear	barafustar
castanha-da-índia	castanheira-da-índia
suante	suador
grasnido	grasno
pensamento desejoso	wishful thinking
baguaçu	jambo
baguaçu	joão-bolão
baguaçu	baga-de-freira
baguaçu	azeitona-preta
baguaçu	brinco-de-viúva
baguaçu	jalão
baguaçu	manjelão
baguaçu	guapê
baguaçu	jambolão
Caribe	Caraíbas
carpintaria	marcenaria
polissílabo	polissilábico
sem grilo	sem problema
sem grilo	de nada
sem grilo	não há de quê
varinha mágica	varinha
vai saber	quem sabe
vacação	férias
vacação	vagação
vacação	vacatura
vacação	vagatura
ora bolas	oras
ora bolas	ora
ora bolas	bolas
oras bolas	oras
oras bolas	ora
oras bolas	bolas
jalão	jambo
jalão	baguaçu
jalão	joão-bolão
jalão	baga-de-freira
jalão	azeitona-preta
jalão	brinco-de-viúva
jalão	manjelão
jalão	guapê
jalão	jambolão
joão-bolão	jambo
joão-bolão	baguaçu
joão-bolão	baga-de-freira
joão-bolão	azeitona-preta
joão-bolão	brinco-de-viúva
joão-bolão	jalão
joão-bolão	manjelão
joão-bolão	guapê
joão-bolão	jambolão
manjelão	jambo
manjelão	baguaçu
manjelão	joão-bolão
manjelão	baga-de-freira
manjelão	azeitona-preta
manjelão	brinco-de-viúva
manjelão	jalão
manjelão	guapê
manjelão	jambolão
baga-de-freira	jambo
baga-de-freira	baguaçu
baga-de-freira	joão-bolão
baga-de-freira	azeitona-preta
baga-de-freira	brinco-de-viúva
baga-de-freira	jalão
baga-de-freira	manjelão
baga-de-freira	guapê
baga-de-freira	jambolão
brinco-de-viúva	jambo
brinco-de-viúva	baguaçu
brinco-de-viúva	joão-bolão
brinco-de-viúva	baga-de-freira
brinco-de-viúva	azeitona-preta
brinco-de-viúva	jalão
brinco-de-viúva	manjelão
brinco-de-viúva	guapê
brinco-de-viúva	jambolão
guapê	jambo
guapê	baguaçu
guapê	joão-bolão
