# lang=en
free	unfree
human	nonhuman
human	unhuman
Muslim	non-Muslim
Muslim	kafir
bore	interest
bound	free
break	repair
break	put together
break	assemble
break	fix
break	join
break	mend
break	hold
dissociative	associative
build	ruin
build	wreck
build	destroy
build	demolish
build	dissipate
build	weaken
build	decrease
built	unbuilt
catch	release
catch	drop
come	leave
come	retreat
come	flee
come	depart
come	exit
come	go
come	withdraw
driven	nondriven
driven	non-driven
fallen	arisen
found	ruin
found	dissolve
found	abolish
fly	walk
fly	stay
fly	remain
fly	Thesaurus:move slowly
airtight	breathable
airtight	transpirable
graduate	student
graduate	drop-out
forget	learn
forget	reminisce
forget	recall
forget	remember
forget	recollect
forget	acquire
forget	mind
hidden	Thesaurus:hidden
grow	shrink
hit	miss
hold	release
implied	verbal
implied	express
continent	incontinent
north pole	negative pole
north pole	S-pole
north pole	south pole
north pole	south-seeking pole
south pole	north-seeking pole
south pole	positive pole
south pole	north pole
south pole	N-pole
euphemism	dysphemism
euphemism	expletive
lend	borrow
light	weighty
light	burdensome
light	heavy
light	heavyweight
light	cumbersome
light	massive
light	calorific
light	strong
light	fatty
light	strong
light	forceful
light	heavy
light	weighty
light	crucial
light	important
mislead	lead
mislead	direct
mislead	guide
back	front
back	current
back	main
bull	bear
tomorrow	yesterday
with	without
with	against
actor	undergoer
intermarriage	intramarriage
intermarriage	Thesaurus:intermarriage
internal	external
internal	exterior
interior	exterior
exterior	interior
ideal	filter
speak	be silent
straight	bent
straight	crooked
straight	curved
zenith	antizenith
invisibly	visibly
invisibly	apparently
together	apart
bra	ket
addition	reduction
addition	exclusion
addition	reduction
addition	deduction
addition	Thesaurus:decrement
addition	subtraction
verbal	implied
verbal	unsaid
cheese	fill
conscious	asleep
conscious	unaware
conscious	unconscious
self	nonself
beautiful	hideous
beautiful	repulsive
beautiful	plain
beautiful	homely
beautiful	unbeautiful
beautiful	misshapen
beautiful	ugly
beautiful	grotesque
beautiful	miserable
beautiful	wet
beautiful	dull
beautiful	cloudy
beautiful	overcast
beautiful	rainy
beautiful	bad
beautiful	mediocre
beautiful	weak
beautiful	average
beautiful	shoddy
beautiful	poor
beautiful	terrible
beautiful	substandard
beautiful	bad
overpay	underpay
oversleep	undersleep
proven	unproven
proven	disproven
rise	descend
rise	sink
rise	drop
rise	fall
rise	set
rise	decrease
rise	fall
rise	reduce
rise	drop
rise	go down
run	rise
run	riser
