# lang=ca
gratis	free, for free
honest	upright, decent, honorable
cupido	An adorable child.
mart	marten, especially the European pine marten
dental	dental
dens	dense, thick
mesa	altar
mesa	mense
mesa	board
suec	Swedish
suec	Swede
suec	Swedish
adaptar	to adapt
admirar	to admire, to respect
admirar	to marvel (de at)
adorar	to adore
adorar	to revere
adorar	to worship
tenor	tone, tendency, tenor
alto	stop!, halt!
alto	break, rest stop
sobre	on, on top of
sobre	over, above
sobre	about
caos	chaos
fix	fixed, not changing
fix	stationary
aliment	(piece of) food
eufemisme	euphemism
agitar	to shake
agitar	to wave
agitar	to rouse, to stir up, to agitate
agradar	to like
agradar	to please
agricultura	agriculture, farming
disfrutar	to enjoy
alba	the white tunic worn by priests
albatros	albatross
emperador	emperor
terra	earth
terra	ground
catapulta	catapult
cantor	singer
-or	; -ness
-or	; -th, -ence
enter	entire, whole, complete
enter	whole number, integer
enter	a complete lottery ticket (made up of ten dècims)
pirata	pirate
pirata	pirate
pirata	highjacker
monstre	monster
gai	gay, merry
gai	gay, homosexual
gai	gay man
dent	tooth
dent	tooth (saw tooth)
dent	tooth (gear tooth)
geometria	geometry
web	, net, internet
quartet	A quartet, a group of four people or things, particularly
gent	people, folk
fons	bottom
fons	background
ira	rage, wrath
sampi	; the Ancient Greek letter ,
govern	government
virus	virus
mac	small stone, pebble
les	them (feminine, direct object)
les	harmed
koppa	Koppa; the Ancient Greek letter Ϙ (lowercase ϙ)
porta	doorway, gateway
mel	honey
mel	cheekbone
caixa	savings bank
caixa	mortise
pues	so, then; in that case
pues	because, since
vast	, wide
diner	money
diner	denier
diner	denarius
fer	to make, produce
fer	to make up
fer	to do, to cause to be done
aire	wind, breeze
reservar	to reserve, to book
reservar	to reserve, to store in reserve
reservar	to reserve (judgment)
cul	bottom, behind, butt
cul	the bottom, rear
fou	a narrow cove
fou	a narrow passage, a ravine
ou	ball, testicle
ou	whoa!
fisc	treasury, public purse
mona	monkey
mona	ape, copycat
mona	drunkenness, hangover
balena	whale
lis	Jacobean lily ()
tora	aconite
monitor	, someone who watches
monitor	teacher, educator
monitor	monitor, display screen
idiota	idiotic
idiota	idiot; fool
-cida	-cide
-cida	-cidal
cerumen	earwax
astrologia	astrology
astronomia	astronomy
tren	train
occidental	western
par	similar, equal
professor	teacher
professor	musician
taxi	taxis
quota	share, portion
quota	fee, dues
mes	month
blanc	white
blanc	white
blanc	target
roc	rock, stone
part	birthing
part	birth of an idea
part	, portion
avant	forward, ahead, onward
feu	fiefdom, fee
peu	foot,
peu	pie, Spanish foot,
peu	footer,
sec	skinny
mag	magician; wizard
mag	magus
mentir	to lie
sac	sack, bag
sac	sackcloth, smock
sac	sack, pillage
val	voucher
fra	brother
camp	field
camp	field of study, discipline
vara	vara, a Spanish rod, ell, or yard,
fem	manure
fem	rubbish
tio	uncle
tio	dude; pal, when addressing them
mates	maths
fur	fuero
fotografia	photograph
fotografia	photography
pes	weight, the heaviness of something, as caused by the downward force of gravity of its mass.
pes	weight, a piece of metal or other materials known to weigh a definite amount, as the ones used on scales or sports
pal	stake
pal	stick
mat	checkmate
caverna	cavern
antisemita	anti-Semitic
antisemita	anti-Semite
saga	series
saga	back, behind, rear
determinant	determining
determinant	determiner
merda	dung, excrement, shit
plat	plate
trist	sad, unhappy
veda	prohibition, ban
veda	closed season
dot	dowry
dot	gift, talent
marsupial	marsupial
pre-	before; used to form words meaning "in front of" or "before"
pre-	before; used to form words meaning superiority or excellence
sentir	to sense
sentir	to feel
sentir	to hear of something
-ible	, -able
pinta	appearance, look
favor	favour
Jacob	(biblical figure)
seder	silk dealer, draper
seder	(), considered an invasive plant in Catalonia
l'	: the
l'	: the
integral	wholegrain, wholemeal
costa	coast
costa	slope
doll	stream, jet
doll	pitcher, vase
tot	everything
infidel	unfaithful
velar	to shroud, to veil
palatal	palate;
porc	pig, swine
fresca	cool weather; coolness
camper	smallholder
camper	field
girafa	giraffe
factual	nonfiction
Ç	C cedilla
novell	new, novel
novell	who is a newcomer
novell	newborn
cereal	breakfast cereal
temporal	storm
temporal	temporary
despertador	awakener; rouser
despertador	alarm clock; alarm
despertador	awakening; rousing
abat	abbot
abat	rector
abat	a type of sausage made using the stomach of a pig as the casing, and stuffed with minced meat
absolut	absolute
absolut	absolute
aeroport	airport, aerodrome, airdrome, airfield
mortal	deadly, lethal
terror	, horror
mirar	to look, to look at, to watch
mirar	to try
mascara	stain
mascara	sooty mold
autor	author
moneda	currency
enviar	to send
enviar	to swallow
vanga	vanga
cultivar	to cultivate; to grow
editor	editing
matar	to kill
matar	to extinguish
fantasma	ghost, phantom
material	relative to substance or matter, that is physical or existing in the real world
material	, things or tools used in an operation, in a service.
material	, components that go into the construction or the composition of something.
porter	doorman, doorkeeper, gatekeeper
porter	goalkeeper
buscar	to seek, to search for, to look for
dictador	dictator
record	memory, recollection of events
record	souvenir
record	regards
col	cabbage
col	wild cardoon
gitano	Gypsy
gitano	Gypsy
haver	to have, to possess
haver	a possession
desastre	disaster
toll	pool, puddle
vet	there is
aurora	sunrise
aurora	aurora
rap	monkfish
pala	shovel, spade
pala	blade
pala	paddle
tala	felling, woodcutting
tala	destruction
reg	irrigation
cornada	goring
divisa	badge, emblem, token
divisa	foreign currency, foreign exchange
barb	barbel
barb	blackhead
pectoral	breast, chest;
res	nothing, not anything
res	anything
res	prayer
espasa	sword
espasa	swords; a suit in the Spanish deck of cards
prosa	prose
mix	a sound used to call a domestic cat
mix	the domestic cat
considerable	(large, substantial)
ombra	shadow
ombra	shade, gloom
ombra	shade, ghost
clima	climate
primer	first
primer	prime
primer	first; before anything else
pela	debarking
pela	peel, rind
pela	peseta
punta	point, tip
punta	pinch, bit
punta	peak, top
saltar	to jump, to leap
saltar	to hop, to bounce
saltar	to come off, fall off, pop off
rascar	to scrape (off)
rascar	to be scratchy
rascar	to make a grating sound
parar	to stop (a person, an animal, a machine) from continuing movement or action
parar	to stop oneself (a person, an animal, a machine) from continuing movement or action
parar	to stop somewhere or at sometime (a vehicle, a person)
brisa	breeze
brisa	pomace
pensar	to think
pensar	to think about, to think of, to have in mind
pensar	to think about, to be of the opinion about
principal	main;
curt	short
contort	twisted
contort	convoluted
client	, customer
pastor	shepherd, herder
pastor	, priest
delegar	to delegate
hidrogen	hydrogen
inferior	lower
superior	, higher, high
circular	to circulate
lateral	wingback
lateral	a casteller in the pinya, who stands beside the baix and holds the legs of one of the segons to prevent them from swaying sideways
existent	, existing
triple	, treble, hat trick
cena	; Last Supper
detestar	to detest
odiar	to hate
algo	something
semen	, sperm
frenar	to brake
frenar	to curb, restrain
ur	aurochs ()
bor	boron
oi	hatred
oi	aversion, revulsion, nausea
lubricant	, lubricating
gola	throat
gola	gorget
pic	pickaxe
quid	crux, gist, core
salvo	safe, secure
amo	owner
amo	master
pila	pile, stack, heap
pila	bunch, load
pila	battery
alfabet	alphabet
alfabet	literate person
alfabet	literate
pilar	pillar
pilar	a castell built with just one casteller on each level
pilar	each of the vertical columns of castellers making up the tronc of a castell (syn. rengla)
figa	cunt; pussy
ardent	burning, ablaze
ardent	, passionate
argot	slang,
argot	jargon
assai	much, a lot
blat	wheat
clot	pit, hole
corona	crown
corona	crown
corona	crown
cove	a large basket
cony	cunt,
farina	flour
fermi	fermium
filet	screw thread
floc	tuft, lock
floc	flake of snow
fumer	producing smoke, smoking
gaiter	bagpiper
gala	pomp, display
gala	festival, dance
gall	rooster, cock
gall	John Dory
gam	a wasting diseases, particularly distomatosis
lavabo	, washbasin, sink
lavabo	toilet
lavabo	bathroom
luxe	luxury
