# lang=he
הולם	נָאוֹת
הולם	כְּדַאי
הררים	הָרִים
ירד גשם	גשם
אורגניזציה	אִרְגּוּן
מצלמת רשת	מַצְלֵמַת אִינְטֶרְנֶט
בדה	פִבְּרֵק
לפיד	אֲבוּקָה
כורת	כּוֹרֵת עֵצִים
שובל	שְׁבִיל
גזל	גָּנַב
שזף עין	הִבִּיט
מאין	מִנַּיִן
מאין	מֵאֵיפֹה
מאין	אֵי מִזֵּה
חולדה	עַכְבְּרוֹשׁ
הקריס	מוֹטֵט
קהוה	קָפֶה
נמאס	הָיָה לוֹ לְזָרָא
נמאס	יָצָא לוֹ מֵהָאַף
אמנון	מוּשְׁט
ברמן	מוֹזֵג
שחקים	שָׁמַיִם
משלח יד	מִקְצוֹעַ
משלח יד	עִסּוּק
משלח יד	מְלָאכָה
משלח יד	מִשְׂרָה
אמה	שִׁפְחָה
דברי ימים	הִיסְטוֹרְיָה
סברה	הַשְׁעָרָה
סורי	סליחה
שקול	שווה
חברות	יְדִידוּת
כלי נשק	כְּלִי זַיִן
כלי נשק	נֶשֶׁק
כלי נשק	זַיִן
כלי נשק	אֶמְצָעִי לְחִימָה
כלי נשק	אַמְלָ״ח
שינקן	שִׁינְקֶה
שינקן	הַאם
שינקה	שִׁינְקֶן
שינקה	הַאם
האם	שִׁינְקֶן
האם	שִׁינְקֶה
אינו יודע צורת א׳	אַנְאַלְפָבֵּית
בן־מלך	נָסִיךְ
מרכב	שִׁלְדָּה
מרכב	שָׁאסִי
שאל את עצמו	תָּהָה
שאל את עצמו	תָּמַהּ
חרמון	שִׂרְיוֹן
חרמון	שִׂיאוֹן
כלי זין	כְּלִי נֶשֶׁק
שכר	פְּרָס
ואללה	בֶּאֱמֶת
מאכלת	סַכִּין
קסת	קֶסֶת דְּיוֹ
קסת	דְּיוֹתָה
קבוצת חוזקה	קבוצת הקבוצות החלקיות
הטעמה	אִינְטוֹנַצְיָה
פת	לֶחֶם
אונייה	סְפִינָה
אגוז	אֱגוֹז מֶלֶךְ
דד	שָׁד
דד	חָזֶה
הרה	הִזְרִיעַ
הרה	הִתְעַבֵּר
פרט	יָחִיד
הדר	הוד
הדר	פאר
אבנן	לִיתְיוּם
מל״ט	כטב״ם
כטב״ם	מל״ט
אימתי	מָתַי
ציטוט	צִיטָטָה
ציטוט	מוּבָאָה
יחס	רלציה
הב	הָאוּ
זוטר	קָטָן
קוריוז	אָנֶקְדּוֹטָה
תקן	סְטַנְדַּרְט
עדין	רָגִישׁ
עדין	שָׁבִיר
זיקה	קֶשֶׁר
פילוג	הַפְרָדָה
פילוג	חֲלִיקָה
סחר	מִסְחָר
השליג	ירד שלג
אם ירצה השם	בעזרת השם
אם ירצה השם	אינשאללה
לפטופ	מחשב נייד
כרפס	סֶלֶרִי
טונה	טוֹן
שדרה	עַמּוּד הַשִּׁדְרָה
איגרת	מִכְתָּב
שתל	נָטַע
סכסוך	קוֹנְפְלִיקְט
תיקן	מַקָּק
תיקן	ג׳וּק
מחצה	חֵצִי
מחצה	מַחֲצִית
יחיד	לְשׁוֹן יָחִיד
וכדומה	וכד׳
מטקה	מַחְבֵּט
מטקה	רָקֶטָה
רוך	רַכּוּת
עיטם לבן־ראש	עיט קירח
עיטם לבן־ראש	עיט קירח אמריקאי
עיט קירח	עיט קירח אמריקאי
עיט קירח	עיטם לבן־ראש
עיט קירח אמריקאי	עיט קירח
עיט קירח אמריקאי	עיטם לבן־ראש
גיא בן הנם	גֵּיהִנּוֹם
חזה	בֵּית הֶחָזֶה
חרוט	קוֹנוּס
נטול	בְּלִי
נטול	חֲסַר
צבעוני	סַסְגּוֹנִי
חלול	נָבוּב
כרך	מטרופולין
שפונדרה	קשתית
בוהן	אֲגוּדָל
יום עצמאות	חַג עַצְמָאוּת
חסר בית	הוֹמְלֶס
מסרון	הוֹדָעָה
מסרון	סמ״ס
פרצופון	סמיילי
מפל	מַפַּל מַיִם
סעודיה	ערב הסעודית
ערב הסעודית	סעודיה
עשתי עשר	אַחַד עָשָׂר
מחול	ריקוד
תובע	קטגור
סופה	סְעָרָה
אלטרנטיבה	חֲלוּפָה
שעבוד	עבדות
עבדות	שעבוד
דחפור	בּוּלְדוֹזֶר
שחט	הָרַג
שחט	טָבַח
לח	רְטִיבוּת
לח	רִיר
לח	רַעֲנַנּוּת
כדורגלן	שַׂחְקַן כַּדּוּרֶגֶל
כדורסלן	שַׂחְקַן כַּדּוּרְסַל
מחילה	סליחה
נבוב	חָלוּל
מגילת איכה	איכה
מגילת איכה	ספר קינות
יחדיו	יַחַד
