# lang=ru
ответ	реа́кция
ответ	реше́ние
ответ	отгадка
рубашка	соро́чка
рубашка	руба́ха
уголь	голове́шка
рассказ	нове́лла
рассказ	повествова́ние
решка	аве́рс
решка	ре́верс
миндалина	гла́нда
миндалина	минда́ль
приятель	друг
наедине	с гла́зу на́ глаз
наедине	тет-а-те́т
чуть	едва́
чуть	едва́-едва́
чуть	е́ле
чуть	е́ле-е́ле
чуть	ма́ленько
чуть	немно́го
чуть	слегка́
чуть	чуто́к
чуть	чу́точку
третьего дня	наза́д
третьего дня	[[два]] [[день
третьего дня	позавчера́
третьего дня	два
редко	в кои веки
редко	вре́мя от вре́мени
редко	и́зредка
редко	неча́сто
скорее	быстре́е
скорее	верне́е
скорее	лу́чше
скорее	проворнее
скорее	ра́ньше
скорее	точне́е
ось	вал
ось	вту́лка
ось	сте́ржень
ось	шпи́ндель
иной	друго́й
короткий	кра́ткий
стопа	нога́
стопа	ступня́
стопа	шаг
кишки	вну́тренности
кишки	кише́чник
родовспоможение	акуше́рство
магистраль	арте́рия
магистраль	шоссе́
синюха	циано́з
ужас	испу́г
ужас	боя́знь
ужас	па́ника
ужас	страх
ужас	жуть
зло	вред
объясняться	изъясня́ться
пуп	RYTP
юго-запад	зюйд-ве́ст
северо-восток	норд-о́ст
юго-восток	зюйд-о́ст
северо-запад	норд-ве́ст
фронт	гру́ппа войск
Русь	Ру́сская земля́
неизбежный	неотрази́мый
неизбежный	немину́емый
неизбежный	непреме́нный
неизбежный	неотврати́мый
неизбежный	неотменный
неизбежный	обы́чный
неизбежный	постоя́нный
редкий	неча́стый
задача	пробле́ма
задача	сло́жность
задача	упражне́ние
задача	цель
судья	арби́тр
тоже	та́кже
также	то́же
ша	ст
ша	ти́ше
ша	тс-с-с
ша	цыц
ша	ш-ш-ш
ст	ти́ше
ст	тс-с-с
ст	цыц
ст	ш-ш-ш
ст	ша
начало	осно́ва
начало	почи́н
начало	руково́дство
начало	старт
правда	в самом де́ле
правда	действи́тельно
приказ	кома́нда
приказ	повеле́ние
приказ	приказа́ние
приказ	распоряже́ние
истина	реа́льность
истина	пра́вда
ремень	по́яс
степень	ступе́нь
степень	показа́тель
степень	ме́ра
иго	гнёт
иго	ярмо́
прощать	извиня́ть
прощать	освобожда́ть
тина	няша
пробка	зато́р
родник	ключ
родник	исто́чник
единственный	одино́чный
момент	мгнове́ние
момент	миг
момент	мину́та
момент	секу́нда
увеличиваться	прибавля́ться
увеличиваться	расти́
увеличиваться	возраста́ть
радиоприёмник	приёмник
жаркий	горя́чий
роза	ро́зочка
рать	во́йско
рать	би́тва
рать	война́
милость	доброта́
милость	человеколю́бие
милость	благодея́ние
милость	дар
милость	одолже́ние
монарх	царь
монарх	коро́ль
монарх	самоде́ржец
строитель	созида́тель
открытый	раскры́тый
открытый	свобо́дный
открытый	я́вный
открытый	нерешённый
открытый	прямо́й
открытый	прямодушный
открытый	открове́нный
открытый	и́скренний
открытый	бесхи́тростный
произведение	сотворе́ние
произведение	творе́ние
трудиться	рабо́тать
трудиться	стара́ться
трудиться	затрудня́ться
трудиться	си́литься
сраный	обосранный
сраный	ничто́жный
картина	полотно́
картина	панора́ма
картина	пейза́ж
картина	вид
картина	состоя́ние
картина	о́браз
картина	явле́ние
загон	волье́р
загон	запа́с
загон	заде́л
загон	пренебреже́ние
унитаз	бе́лый друг
унитаз	очко́
унитаз	горшо́к
унитаз	сральник
унитаз	сорти́р
